FactID	Fact_Statement	True/False
3603525	Camp Rock stars Nick Jonas.	1.0
3818307	Santa Barbara, California is Robert Mitchum's nascence place.	0.0
3812179	Franklin D. Roosevelt's subsidiary is Warm Springs, Georgia.	0.0
3848183	Rome is Alfonso XIII of Spain's last place.	1.0
3614064	Camp Rock stars Hugh Keays-Byrne.	0.0
3867375	Robert De Niro's birth place is New York City.	1.0
3813137	Aeschylus' death place is Eleusis.	0.0
3236962	Marvin Williams's team is Charlotte Hornets	1.0
3420389	A Calculus of Angels' author is Gregory Keyes.	1.0
3442184	Ted Harbert is Chelsea Handler's better half.	0.0
3266599	Hassan Whiteside's team is Portland Trail Blazers	1.0
3225165	Nazr Mohammed's team is Golden State Warriors.	0.0
4330918	New York City is IBM's innovation place.	0.0
3412986	Poul Anderson is The Boat of a Million Years' generator.	1.0
3859067	Gene Kelly's death place is Beverly Hills, California.	1.0
3210146	Kyle Kuzma's team is Los Angeles Lakers	1.0
3383019	Jan Peter Balkenende's award is Netherlands.	0.0
4379388	Sunnyvale, California is Interwoven's innovation place.	1.0
3810658	Yahoo!'s subsidiary is BlueLithium.	1.0
3449146	Robert Rodriguez's spouse is Rose McGowan.	1.0
3415450	Demi Moore is Sara Maldonado's better half.	0.0
3805131	John A. Macdonald's death place is Ottawa.	1.0
3221317	Maxi Kleber's team is Dallas Mavericks	1.0
3858354	Kumasi is Kofi Annan's last place.	0.0
3336569	Nobel Prize in Literature is Herbert Spencer Gasser's honour.	0.0
3282975	Andrei Kirilenko's team is Indiana Pacers.	0.0
3410924	Susannah Harker's spouse is Seal (musician).	0.0
3316285	Max von Laue's award is Nobel Prize in Literature.	0.0
3814745	Santiago de las Vegas is Italo Calvino's death place.	0.0
3628149	Camp Rock stars Ed Harris.	0.0
3817585	Nazr Mohammed's death place is Oklahoma City Thunder.	0.0
3468871	A Canticle for Leibowitz's author is Philip Wylie.	0.0
3420748	The Truce at Bakura's author is Dan Simmons.	0.0
3803384	John F. Kennedy's death place is Dallas.	1.0
4359309	New Zealand is Xero (software)'s foundation place.	1.0
3357864	Nobel Peace Prize is Jacinto Benavente's honour.	0.0
